zombi,zombie
tg,tentang
TFI,sekadar informasi
Teyeng,Bisa
tetiba,tiba-tiba
tetep,tetap
tetengah,bagian tengah
tesih,Masih
Terus Gue Harus Bilang Wow Gitu,saya tidak peduli
teruks,terus
tertidur2,tertidur
tertebak,ditebak
Terong Terongan,anak nakal
tergokil,paling keren
terdevelop,tersusun
terbangke,paling jelek
terang2an,dengan jujur
terang2,terang
ter develop,tersusun
tengok,lihat
tengil,sombong
tengelamnya,tenggelamnya
tengelam,tenggelam
tengah2,tengah
tenan,sungguh
Temenan,benar
temen2,teman
Temen,sangat
tembeke,baru saja
tembe,baru saja
teman2,teman-teman
Tela Iya Koh,Memang iya kok
Tela,Memang
Tekan,sampai
tek,saya
Tegel,Tega
tebas2,aksi
tdk,tidak
tdi,tadi
td,tadi
tawuran,pertengkaran remaja
tawh,tahu
taw,tahu
tau,tahu
tasih,Masih
takpayah,tidak payah
Takon,Tanya
tak,tidak
tady,tadi
t4,tempat
syukak,suka
syarat2,syarat
syarat",syarat
sy,aku
Suteralah,biarkan
suposely,harusnya
suport,dukung
super,sangat
sumpah,sungguh
Sumeng,demam
Sumed,Menyalakan api 
sukak,suka
suk,masuk
Sue,kesialan
styp,setiap
STW,cari di internet
stupidity,kebodohan
stupid,bodoh
students,murid
strong,kuat
stressed,depresi
story,cerita
stngah,setengah
stlh,setelah
starting,mulai awal
Sripilan,bonus
Spupet,sepupu
spt,seperti
sprti,seperti
sppa,siapa
spooky,menakutkan
spoky,menakutkan
spanjang,sepanjang
spa,siapa
sowry,maaf
soundtracknya,soundtrack
sotoy,sok tahu
sothing,membuat hati tenang
sory,maaf
sorang,sendiri
soothing,menenangkan
sontreknya,soundtrack dari
solve,memecahkan
Sokil Gob,keren
sok2an,
sok sokan,bersikap sombong
sobat,sahabat
sob,sahabat
so so,biasa
so,jadi
sngt,sangat
smuanya,semuanya
SMS,pesan
smpe,sampai
smp,sampai
smlm,semalam
smart,pintar
sm,dengan
slow,lambat
slh,salah
slepas,setelah
slama,selama
slalu,selalu
skit,sakit
sj,saja
siyan,kasihan
sis,sahabat
simple,sederhana
sila,silahkan
sikit,sedikit
Siki,Sekarang
sik,sih
sig,sih
sieyh,sih
siech,sih
sick,sakit
sia2,sia-sia
sia",sia-sia
sia sia,sia-sia
si,sih
shock,kaget
shit,wow
shbs,setelah
shape,bentuk
sgt,sangat
sgd,dengan
sexy,seksi
Sewise,Sesudah
seuwise,sesudah
setres,depresi
seseru,terlalu seru
sesederhana,sederhana seperti yang digambarkan
seruan,lebih seru
seru,bagus
serious,serius
sering2,sering
series,serial
seremnya,seramnya
serem,menakutkan
sequelnya,cerita berikutnya
sequel,cerita berikut
sequalnya, sequel dari filmnya
seprti,seperti
Sepetil,sedikit
sepethil,sedikit
sependapat,memiliki pendapat yang sama
Senthong,Kamar Tidur
sensasinya,sensasi
seneng,senang
Semriwing,sejuk
sempet,sempat
sempatin,sempatkan
Semblothongan,asal-asalan
semalem,semalam
selucu,yang lucu
Selon,santai
Seliyane,Selainnya
sekeren,yang keren
Sekem,tertipu
Sekang,Dari
sek,tunggu
Sejen,Lain
seheboh,heboh seperti
sehari2,sehari-hari
sehari",sehari-hari
segitu,itu
seger,segar
sedy,sedih
Sedela,Sebentar
sedap betul,sangat bagus
sebutin,sebutkan
sebodo,bodoh
sebnrnya,sebenarnya
sebenernya,sebenarnya
sebelom,sebelum
sebel,sebal
sebaya,orang
sebatangkara,sendirian
se,terlalu
sdr,sendiri
scriptnya,jalan ceritanya
script,jalan cerita
screning,screening
scenex,adegan
scenes,adegan
scenenya,adegan
scene nya,adegan
scene,adegan
sbnrnya,sebenarnya
sblm2,sebelumnya
sblm,sebelum
sbg,sebagai
sbb,sebab
sb,karena
satnya,saatnya
sat,saat
sape,siapa
Sapa,Siapa
sangup,sanggup
Sanga,Sembilan
Sanding,Sebelah
sampek,sampai
sampe,sampai
sambungan,yang berikutnya
sama2,bersama
sama",bersama
sal,asal
saking,karena
saiko,sakit jiwa
said,berkata
saiank,sayang
saiang,sayang
Saben,Setiap
Sabeb,bebas
s4,sempat
rus,terus
Runtah,Sampah
Rumangsa,Merasa
rugilah,sangat rugi
Ruag,Rusak
ru,baru
Rosa,memiliki tenaga yang kuat
Rogol,jatuh
rmhnya,rumahnya
riweuh,ribet
Risban,Kursi panjang
rip,istirahatlah dengan tenang
Rikala,sewaktu
Rika,kamu
reviewnya,review filmnya
resensi,review
resek,kesal
repp,balasan
Rempong,ribet
rekomen,anjurkan
Rekasa,Sengsara
Rega,Harga
refreshing,menyegarkan diri
recreate,membuat ulang
recommended,dianjurkan untuk dilihat
recomended,sangat direkomendasi
Reang,Ramai
realy,sangat
realized,sadar
real,nyata
rata2,rata-rata
rasanya,sepertinya
rasane,sepertinya
rasain,merasakan
rasa,merasa
Randa,Janda
rame,ramai
Rama,Bapak
Raine Ora Mitayani,wajahnya jelek
ra,tidak
qsuka,aku suka
qmu,kamu
q suka,aku suka
q,aku
pzt,pasti
pya,punya
p'y,punya
Putu,Cucu
Pungkasan,Terakhir
Pundung,kesal
pulaunya,pulau yang dituju
pulak,juga
pukpuk,menghibur
puashati,sangat puas
psycho,sakit jiwa
psl,pasal
prsahabatan'a,persahabatannya
prsahabatan a,persahabatannya
proud of,bangga pada
proud,bangga
project,proyek
priwe,bagaimana
primen,bagaimana
Prikitiew,cie
prikitew,cie
priben,bagaimana
prefer,lebih memilih
predictable,mudah ditebak
Prasmul,perasaan saja
prasan,perasaan
ppi,tapi
ppa,apa
poran,biarkan
porah,biarkan
por,kasihan
plink,paling
p'ling,paling
please,tolong
Playon,Berlarian
play,main
pkiran,pikiran
PJ,traktiran
piye,bagaimana
Pitik,Anak Ayam
Pitakon,Pertanyaan
Pira,Berapa
pinternya,pintarnya
pinter,pintar
pingin,ingin
pilm,film
pilemnya,filmnya
pilem,film
pie,bagaimana
pidek,injak
PHP,omong kosong
Pethuk,Temu
Pethakilan,nakal
Petha,Umum
Peso,Pisau
Pertamax,komentar pertama
personality,personalitas
persahabatanya,persahabatannya
perform,performa
Peres,bohong
perempuan2,wanita wanita
pereg,dekat
percintan,percintaan
perasan,perasaan
perangnya,perang
penyampaianya,cara penyampainnya
penontonya,penontonnya
Penjorangan,candaan
pengin,ingin
penghargan,penghargaan
pengen,ingin
pendiem,pendiam
penayanganya,tayangnya
pen sangat,sangat ingin
pen,ingin
pemeranya,aktornya
pemandanganya,pemandangannya
pemainya,pemerannya
pelm,film
pegel,kesal
pede,percaya diri
Pecicilan,melihat kesana kemari
Pecah,heboh
pdhl,padahal
patutlah,patut
patutla,patut
pattern-nya,polanya
patternnya,polanya
Patia,Begitu
pastu,pasti itu
pas,waktu
part,bagian
Paribasan,Ibarat
Paper,emosi
panutanq,panutanku
pantesnya,pantas
pantes,pantas
paling,sangat
Palbis,paling bisa
pake,pakai
Pahal,Kerja
pada,semua
pace,alur
pa,apa
oya,oh ya
overal,sebagian besar
over,selesai
OTW,sedang dalam perjalanan
Otre,oke
ostnya,soundtrack dari
ost,soundtrack
ortu,orang tua
org,orang
Oretz,oke
Ora Petha,Tidak wajar
Ora Nguja,Tidak sengaja
ora,tidak
or,atau
omg,astaga
omagah,astaga
Olih-Olih,Oleh-oleh
Olih,Boleh
ohiya,oh ya
ogah,malas
of the year,tahun ini
obsesnya,obsesinya
nyumbang,menyumbang
nyong,saya
nyoblos,pemilu
nyoba,coba
nykp,ibu
nyh,ini
nyesel,menyesal
nyesal,menyesal
nyesai,menyesal
nyeletuk,bicara tanpa pikir
nyelekit,membuat sakit hati
nyelamtin,menyelamatkan
nyebut-nyebut,menyebut
nyebut2,menyebut
nyebut",menyebut
nyebut nyebut,menyebut
nyebut,menyebut
nyebar,menyebar
nyanyi2,nyanyian
nyanyi",nyanyian
nyanyi,menyanyi
nyangka,sangka
nyampe,sampai
ny,nya
NW,sekarang sedang tayang
nungu,menunggu
nunggu,menunggu
nunda,menunda
numpang,ikut
ntu,itu
nton,lihat
ntn,lihat
nti,nanti
ntar,nanti
ntap,bagus
ntah,entah
NP,sekarang sedang tayang
not,tidak
nontonya,melihatnya
nontonin,memperlihatkan
nontona,lihatnya
nonton,lihat
nolongin,menolong
nobar,lihat bersama
No Rosa,Jangan terlalu
No Rhoma,Jangan terlalu
No Afhan,Jangan Sadis
nntn,melihat
nnti,nanti
nnt,lihat
nk,untuk
njir,ya
Njeprah,Banyak sekali
njeplak,Asal bicara
njagong,duduk
niyh,nih
Ningen,Tetapi
nikmat,bagus
nikahan,pernikahan
nikah,menikah
night,malam
nieyh,nih
nieh,ini
niech,nih
nie,ini
Nidokna,memperlihatkan
nice,bagus
ni,ini
ngundang,memanggil
Nguja,Sengaja
Ngudang,memanggil
ngubah,mengubah
Ngonoh,Kesitu
ngomongin,membicarakan
ngomong,bicara
Ngode,Kerja
ngn,dengan
Nglombo,Berbohong
Nglokro,lemas
Nglogog,melamun
nglebihin,melebihi
ngko,nanti
ngitung,menghitung
ngira,mengira
ngilu,aneh
ngikutin,mengikuti
nggak,tidak
ngga,tidak
ngevote,memilih
ngets,sekali
ngerti-ngertiin,mengerti
ngertin,mengerti
ngerti2in,mengerti
ngerti,mengerti
ngerasa,terlihat
ngengkrek,bergegas
ngenganjel,mengganjal
Ngeneh,Ke sini
ngena,menyentuh hati
ngeluarin,mengeluarkan
ngelihat,melihat
ngeledekin,menghina
ngelarin,menyelesaikan
ngelanjutin,melanjutkan
ngelamunin,membayangkan
ngelamun,melamun
ngelakuin,melakukan
ngekek2,tertawa
ngekek,tertawa
ngejar,mengejar
ngehargain,menghargai
ngehargai,menghargai
ngeh,mengerti
ngegemesin,membuat orang merasa gemas
ngeganjel,menggantung dan tidak sesuai harapan
ngedidik,mendidik
ngecewain,mengecewakan
ngebut,cepat
ngebosenin,membuat bosan
ngebahas,membahas
nge vote,memilih
nge,mau
ngarepin,harap
ngapain,sedang apa
ngapa,mengapa
ngantuk,ingin tidur
ngantri,antri
ngantok,mengantuk
ngangep,menganggap
Ngandel,percaya
Nganah,Kesana
ngambil,mengambil
ngalahin,mengalahkan
ngakunya,mengaku
ngakak,tertawa
ngak,tidak
Ngajog,Menyesal
ngajak,mengajak
ngabisin,menghabiskan
nga,tidak
next,lanjut
neng,kak
nendang,menendang
nemu,menemukan
nempeleng,memukul
nembe,Baru
nekat,berani mati
Nek,Kalau
neh,ini
Ndopok,membicarakan gosip
Ndilalah,Kebetulan
ndikep,menangkap
Ndeyan,Mungkin
Ndeplak,Asal bicara
ndak,tidak
nc,ini
nayangin,menayangkan
nax,anak
Narsis,cinta diri sendiri
narik,tarik
nari2,menari
naq,anak
napas,nafas
napadah,mengapa ya
nanya,tanya
nangis,menangis
nambahin,menambahkan
nal,kenal
nakutin,menakutkan
nak,tidak
na,nya
n,dan
mzuk,masuk
mzugg,masuk
mzug,masuk
mz,pesan
mystery,misteri
my,saya
mw,mau
mu'uv,maaf
muuv,maaf
muupz,maaf
mutz,imut
muter,berputar
must,harus
Mure,murah
mumz,makan
mumpung,selagi
mumet,pusing
mulu,setiap saat
mudun,turun
mskpn,meskipun
msh,masih
movie2,film-film
movie of year,film bagus tahun ini
movie of the year,film bagus tahun ini
movie of the month,film bagus bulan ini
movie of  month,film bagus bulan ini
movie,film
moveon,melupakan
move on,melupakan
motivated,termotivasi
motivate,motivasi
mosok,masa
more,lebih
Modus,memiliki niat lain
mnyntuh,menyentuh hati
mnungu,menunggu
mngkin,mungkin
mmg,memang
Mitaya,Lumrah
miripmirip,mirip
minit,menit
mingu,minggu
Ming,Ke
mindfuck,luar biasa
mindblowing,luar biasa
mind fuck,luar biasa
mind blowing,luar biasa
milih,memilih
mikir,berpikir
Miki,belum lama
Midun,Turun
mid,tengah
MIAPAH,untuk apa
MHO,menurutku
mgkn,mungkin
mgkin,mungkin
mewek,menangis
Metyaw,Selamat Ya
mestinya,seharusnya
merindukanya,merindukan dia
Meriang,Sakit
Merad,Pergi
menyentil,tepat sasaran
menyelengarakan,menyelenggarakan
menurutq,menurutku
mentok,paling
mentang2,memang sih
mensyukuri,tetap bersyukur
menonton,melihat
mengurui,seperti guru
mengunakan,menggunakan
Mengugah,Menggugah
mengoda,menggoda
Mengko dingin,Nanti dulu
mengerakkan,menggerakkan
mengena,jelas
mengemaskan,membuat orang merasa gemas
mengelitik,menggelitik
mengelitik,menggelitik
mengelisahkan,menggelisahkan
mengapresiasi,mengagumi
Menganggu,Mengganggu
mengangap,menganggap
mengambarkan,menggambarkan
mengairahkan,menggairahkan
mengabungkan,menggabungkan
Menel,centil
Meneketehe,saya tidak tahu
mendingan,lebih baik
mending,lebih baik
Menangi,mengalami
men,main
mempan,cukup
memfasilitasi,memberi fasilitas
memerhatikanmu,mengamati kamu
melu,ikut
melow,melankolis
mellow,melankolis
meh,mau
me,aku
mcm,seperti
mbuka,membuka
mbrebes,senang
Mboke,Ibunya
mbesengut,Cemberut
Mbene kober kiye,Baru sempat ini
mbene,Baru
Mbekayu,kakak
Mbejut,Nakal
Mbejujag,tidak sopan
mbe,bersama
Mbandreng,Ingin sekali
mbak,kak
Mbajug,Nakal
mbah,orang yang sudah tua
mba,kak
mayuh,ayo
Mayeng,Pergi
mayan,lumayan
Mathak,Melempar
matek,mati
mate,sahabat
masukan,masukkan
mas,kak
Marakna,Menyebabkan
marai,membuat
mantep,bagus
mantap,bagus
mantanlah,mantan
Manjat,memanjat
Maning,Lagi
maniezt,manis
manies,manis
Mangslup,Masuk
Mangsan,Musim
Mangga,silahkan
Manga,Membuka mulut
mang,memang
mandan,agak
Mancep,Mantap
mamz,makan
mampus,mati
Mambrah-mambrah,berantakan
mama,ibu
males2an,bermalas-malas
malem,malam
Malay,malas
malak,minta uang
maksa,memaksa
makek,memakai
makasih,terimakasih
Mainstream,sangat umum
mainin,memainkan
main2,main-main
Maho,homoseksual
mah,sih
Mager,malas
Mage,ayo
maflah,maaf
mafla,maaf
Madhang,Makan
Madéih,menyebalkan
Madani,dimarahi
Madan,Agak
macem,macam
MaCAPAH,dengan Siapa
MACAMA,Sama-Sama
maaflah,maaf
Maaciw,Terima Kasih
MAACIH,Terima Kasih
m8,sahabat
lw,kamu
luwucu,lucu
luthu,lucu
lupz,cinta
luph,cinta
Lunga,Pergi
lum,belum
luff,cinta
lucuk,lucu
lucuan,lebih lucu
luchuw,lucu
lu,kamu
lps,lepas
low,kalau
Love,cinta
loupz,cinta
louphh,cinta
look like,terlihat seperti
Longan,bawah tempat tidur
long,panjang
Londhog,Jalannya pelan
loncat2,lompat-lompat
Lombo,Bohong
lom,belum
LOL,tertawa terbahak-bahak
loh,lho
Logika,kamu pergi aku bebas
lochx,lho
lochkz,lho
loch,lho
Lobok,longgar
Lo Gw End,hubungan kita berakhir
Lo,kamu
Liyane,Lainnya
Liya,Lain
Lirih,lembut
lindhig,jalannya pelan
lihatna,lihat itu
liat,lihat
lht,lihat
lhoh,lho
lha,lho
lgsung,langsung
lg,lagi
Lereng,sangat
leptop,komputer
lepasni,setelah ini
lepas lihat,selesai lihat
Lenjeh,Centil
Lengob,Bodoh
Lempogen,lelah
lempeng,lambat
lemot,lambat
Lelli,sangat lelah
lelet,lambat
lek,kalau
Lejeg,rusak
Lejed,sangat
leh,boleh
Leg,Telan
Lebu,Debu
Lebeh,berlebihan
Lebay,berlebihan
ldran,hubungan jarak jauhnya
LDR,hubungan jarak jauh
lbh,lebih
layan,lumayan
lawakan,kelakar yang berlebihan
Laut,Selesai kerja
last night,kemarin malam
last,akhir
Lara,Sakit
Langka,Tidak ada
Lamreta Bingit,lama sekali
Lamreta,lama
lam,salam
lakik,cakep
laki,laki-laki
LAHACIA,Rahasia
lah,ya
lagu2,lagu
lagik,lagi
laa,ya
kzl,kesal
kyk,seperti
Kuwe,Itu
kusuka,aku suka
kureng,kurang
Kur,Hanya
kuq,kok
Kungkum,Berendam
Kuna Lereng,Zaman dulu sekali
Kuna Lejed,Zaman dulu sekali
Kuna,Zaman dulu
kug,kok
kudu,harus
Kucluk,Bodoh
kubanga,aku bangga
ku suka,aku suka
ku,aku
kta,kita
krya,karya
krn,karena
krg,kurang
krenz,keren
krent,keren
krank,kurang
krang,kurang
koyo,seperti
Kowe,kamu
koq,kok
KOPLAK,Lucu Dan Gokil
konklusinya,ending dari film
Kongkow,nongkrong
Kongkonan,Suruhan
Kongkon,Suruh
komen,komentar
Koh,Kok
kog,kok
Ko,kamu
knp,mengapa
kmu,kamu
kmrn,kemarin
kmarin,kemarin
kmaren,kemarin
km,kamu
klw,kalau
klo,kalau
klianz,kalian
klian,kalian
Kleleb,Tenggelam
klau,kalau
kl,kalau
KIYIM,Kirim
Kiye,Ini
kitah,kita
kirain,saya kira
kira2,kira-kira
Kipak,bohong
Kicep,terdiam
khuzuz,khusus
khan,kan
khabar,kabar
kezel,sebal
Keyen,Keren
kewren,bagus
keton,terlihat
ketolongan,tertolong
Ketilem,Tenggelam
ketiduran,sampai tertidur
ketemu,bertemu
Ketempuhan,Harus mengganti
ketebak,sudah ditebak
ketawanya,tertawanya
ketawa2,tertawa
ketawa,tertawa
ketangkep,tertangkap
ketagihan,suka
Kesuh,Marah
kesihir,tersihir
kesian,kasihan
keseluruhanya,keseluruhannya
kesel,sebal
kesampean,terwujud
keri2ne,ending
keri2 ne,ending
keri2,ending
keri"ne,ending
keri" ne,ending
keri",ending
kerenya,keren pada
kerenlah,keren juga
keren habis,sangat keren
keputer,terpasang
kepriwe,bagaimana
keprimen,bagaimana
kepriben,bagaimana
kepo,selalu ingin tahu
Keplak,Pukul
kepingin,ingin
kepikiran,memikirkan
Kepethuk,Bertemu
Kendhat,Bunuh diri
kendaran,kendaraan
Kencot,Lapar
Kenaps,mengapa
kenak,kena
Kemrewek,banyak bicara
Kemlithak,bertingkah
Kemayu,Sok cantik
kemarin2,kemarin
kemaren,kemarin
kemanusian,kemanusiaan
kemana2,kemana-mana
Kemal,sangat ingin tahu
Kemaki,Sombong
Kelir,Warna
kelingan,ingat
kelihatanya,sepertinya
kelihatannya,sepertinya
keliatan,terlihat
kelewatan,terlewat
Keleus,kali
Keles,Kali
keleleb,Tenggelam
Keleg,Tertelan
kelas teri,suruhan
kelar,selesai
kelamaan,terlalu lama
Kelalen,Lupa
kek,seperti
keje,kerja
kejap,mengantuk
kegantengan,ganteng
Keduman,Dapat bagian
kedepanya,di masa depan
keceh,cakep
kece badai,luar biasa sekali
kece,keren
kebwa,terbawa
keburu,terlanjur
kebayang,teringat
kebangetan,keterlaluan
ke mana2,kemana-mana
ke abisan,kehabisan
Kayonge,sepertinya
kayanya,sepertinya
kayaknya,sepertinya
kayak,seperti
Kaya kiye,Seperti ini
Kaya,Seperti
Kawus,Jera
kawit,Sejak
kau,kamu
Katon,terlihat
Katisen,Kedinginan
kata2,kata-kata
kasian,kasihan
kasi,beri
Karus,Terlanjur
karna,karena
karakter2nya,karakternya
kaptenya,kaptennya
kapankah,kapan
kanz,kan
kantuku,rasa mengantuk
kantukku,saya mengantuk
kant,kan
kangenya,kangen
kang,kakak
Kandahan,omong-omong
Kandah,Bicara
Kanca,Teman
kan,ya
kamyu,kamu
kamuwh,kamu
kamuh,kamu
KAMSUD,Maksud
Kamseupay,tidak mengikuti tren zaman
KamSeUdIN,tidak mengikuti tren zaman
Kampleng,Pukul
Kampil,Bantal
kampanyekan,mengadakan kampanye
KAMESEUPAY,tidak mengikuti tren zaman sekali
Kambi,Dengan
Kam Se U Pay,tidak mengikuti tren zaman
kaluw,kalau
kalo,kalau
kale,juga
Kaki-Kaki,Kakek
kakang,kakak
kakagg,kakak
kaka,kakak
kajog,menyesal
kagak,tidak
kaga,tidak ada
Ka,Kok
jwb,jawab
Jutek,tidak ramah
just me,hanya aku
just,hanya
Jungkat,Sisir
jujugna,mengantar
jujug,antar
jugak,juga
judes,tidak ramah
jualan,jual
jt,juta
Jotos,Memukul dengan menggunakan kepalan tangan
jorogna,mendorong
Jorog,dorong
jorna,biarkan
Jor,Biarkan
jomblo,tanpa pasangan
jokesnya,komedinya
jokes,candaan
joke,lelucon
joget2,menari
joget,menari
job,kerja
jleb,menyakitkan hati
JK,hanya bercanda
JJM,Jalan-jalan di Malam hari
jiyot,mengambil
jinga,jingga
jimot,mengambil
jgn,jangan
jga,juga
jg,juga
Jenthik,Jari
jengkel,kesal
jele,jelek
jelalatan,melihat kesana kemari
Jek,Ajak
Jejek,tendang
je,ternyata
jdi,jadi
jd,jadi
jaz,jazz
Jayus,tidak lucu
Jawil,Colek
jarang2,sangat jarang
jarang",sangat jarang
japanese,orang jepang
Janjane,Sebenarnya
jaman,zaman
jalan2,jalan-jalan
jalan",jalan-jalan
Jaki,Jalan kaki
jagong,Duduk
jagoan,jago
jadin,jadikan
jadian,jadi pasangan
ja,saja
Iwak,lauk pauk
iupz,iya
isn't over yet,belum selesai
isnt over yet,belum selesai
isn t over yet,belum selesai
is boring,membosankan
is, 
inyonge,saya
Inyong thok sing ora bisa,Saya sendiri yang tidak bisa
Inyong Dhewek,Saya sendiri
Inyong Agi Dhewekan,Saya sedang sendirian
inyong,saya
intine,intinya
inspiring,menginspirasi
inspired,terinspirasi
iniyh,ini
inie,ini
ingtkn,ingatkan
inginya,ingin
inget,ingat
indo,indonesia
inded,memang
imoetz,imut
im in love,aku suka
Ilmune Inyong Esih Cupet,Ilmu saya masih sedikit
Ilfeel,menjadi tidak suka
ilang,hilang
ikutan,ikut
Ikih,Ini
iki,ini
Ijig-ijig,Tiba-tiba
IDK,saya tidak tahu
idiotz,bodoh
Idek,Injak
Iank,sayang
iang,sayang
ia,iya
I was so,aku sungguh sangat
I vote,aku memilih
I love it so much,aku sungguh suka itu
I love,aku suka
I cried,aku menangis
i,aku
humz,rumah
hukhuk,menangis
Hugel,hubungan gelap
hufft,mengeluh
HTH,semoga membantu
hrs,harus
hozz,rumah
honestly,jujur
holywod,luar negeri
Hoax,berita bohong
heuh,ha
hero,pahlawan
Heri,Heboh Sendiri
hepi,senang
hensem,ganteng
help,tolong
head to head,berhadapan
hbs,habis
haritu,hari itu
harini,hari ini
hard to enjoy,susah dinikmati
handsome,ganteng
hal2,hal-hal
haghaghag,tertawa
hadeh,aduh
hadam,paham
Hacep,pesta
habis lihat,selesai melihat
gz,tidak
GWS,semoga cepat sembuh
gwe,saya
gw,saya
guyonan,bercanda
Guyon,bercanda
gutul,tiba
gur,hanya
gundu,kelereng
Gujis,banyak bicara
Gujih,banyak bicara
gue,saya
Gudnyus,kabar gembira
gua,saya
gtw,tidak tahu
gtu,begitu
gtg,ganteng
gtau,tidak tahu
gt,begitu
gros,jijik
Gretongan,gratis
greget,sesuai dengan harapanku
Grajih,Gergaji
Grabag-Grubug,terburu-buru
GPL,jangan terlalu lama
Gotek,Melamar
Gotak,bicara tanpa pikir
Goroh,Bohong
good thing,hal yang baik dari
good,bagus
gokilz habis,sangat bagus
gokilz,bagus
gokil habis,sangat bagus
gokil,bagus
god,bagus
goblok,bodoh
gni,begini
gmna,bagaimana
gmn,bagaimana
Gludug,petir
Glewehan,candaan
Glepung,Tepung beras
gk,tidak
gituw,begitu
gitulah,seperti itu
Gitu,begitu
Githir,terburu-buru
gitchu,begitu
ginian,ini
gini,seperti ini
gimana,bagaimana
Gili,Jalan
gile,gila
gilak,gila
Gigal,Jatuh
gi,sedang
ghiy,sedang
ghiey,sedang
gga,tidak
Gething,Tidak suka
Gering,Kurus
geregetan,membuat orang merasa gemas
gentayangan,berkeliaran
genit,centil
Gengges,mengganggu
Gendul,botol
gempak,bagus sekali
gemesin,menggemaskan
gemes,gemas
Gembelengan,Sombong
Gelis,Cepat
geli,lucu
geledek,petir
Gela,kesal
Geje,tidak jelas
Gedig,Pukul
gede,besar
gbs,tidak bisa
gax,tidak
gatau,tidak tahu
gasuka,tidak suka
Garing,tidak lucu
Gari,tersisa
gara2,karena
gara",karena
gapapa,tidak apa-apa
Ganu,dulu
ganonton, tidak lihat
gangerti,tidak mengerti
gan,sahabat
gampang,mudah
gamau,tidak mau
Galau,bimbang
gakngerti,tidak mengerti
gak,tidak
Gajebo,tidak jelas
Gaje,tidak jelas
gageyan,segera
gagean,segera
gag,tidak
gaes,teman
gada,tidak ada
Gabut,menerima gaji dengan tidak bekerja
gaboleh,tidak boleh
gabisa,tidak bisa
gaada,tidak ada
ga,tidak
g suka,tidak suka
g bisa,tidak bisa
g,tidak
FYI,untuk informasi saja
fun,bagus
ful,penuh
Fudul,selalu ingin tahu
Friendzone,hanya menyukai sebagai teman
fre,gratis
forced,dipaksakan
